id,month,type,placename,state,state_abbrev,state_fips,countyname,countyfips,ideology,group,description
1806,1,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,, and swastika traced into wet cement.
2188,1,Anti-Semitic Incident:Vandalism,Melville,New York,NY,36,Suffolk,103,,,Menorah in public place vandalized.
440,1,Anti-Semitic Incident:Harassment,Cairo,Georgia,GA,13,Grady,131,,,Middle school student the victim of ongoing anti-Semitic jokes and taunts.
1695,1,Anti-Semitic Incident:Harassment,Natick,Massachusetts,MA,,Middlesex,17,,,High school student victim of anti-Semitic verbal harassment.
1026,1,Anti-Semitic Incident:Vandalism,Hanover,New Jersey,NJ,,Morris,27,,,School presentation defaced with swastika drawings.
1233,1,Anti-Semitic Incident:Vandalism,Lafayette,Louisiana,LA,22,Lafayette Parish,55,,,Large swastika found in elevator of apartment complex.
355,1,Anti-Semitic Incident:Assault,Los Angeles,California,CA,,Los Angeles,37,,,Jewish man assaulted while walking on the street.
1860,1,Anti-Semitic Incident:Harassment,Orlando,Florida,FL,12,Orange,95,,,Non-Jewish elementary school student told Jewish peer she did not like her because she was Jewish.
1268,1,Anti-Semitic Incident:Vandalism,East Windsor,New Jersey,NJ,,Mercer,21,,, painted on electrical transfer box.
898,1,Anti-Semitic Incident:Harassment,Fort Lauderdale,Florida,FL,12,Broward,11,,,High school soccer fans chanted anti-Semitic slurs at opposing team.
870,1,Anti-Semitic Incident:Harassment,East Falmouth,Massachusetts,MA,25,Barnstable,1,,,Confidential
2254,1,Terrorist Plot/Attack,Seabrook,New Hampshire,NH,,Rockingham,15,Right Wing (Anti-Government),,"bring forth the original constitution.” As of this writing, Musso seems to still be awaiting trial."
1473,1,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Synagogue vandalized with swastika and KKK graffiti.
499,1,Anti-Semitic Incident:Vandalism,Atlanta,Georgia,GA,13,Fulton,121,,,Swastika drawn on the door of a State Court judge.
1459,1,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,
375,1,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Confidential
1444,1,Anti-Semitic Incident:Vandalism,Madison,Wisconsin,WI,55,Dane,25,,,Pictures of swastikas and Hitler left on student's dorm room door.
2571,1,Anti-Semitic Incident:Harassment,Charleston,South Carolina,SC,45,Charleston,19,,,Audience member at a city council meeting made anti-Semitic comments about Charleston Jewish community.
1387,1,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,,Swastika carved into elevator wall.
351,1,Anti-Semitic Incident:Vandalism,San Francisco,California,CA,6,San Francisco,75,,, written on bookshelves in public library.
1503,1,Anti-Semitic Incident:Harassment,Marblehead,Massachusetts,MA,25,Essex,9,,,Photo of swastika made of pennies circulated on social media at a high school.
760,1,Anti-Semitic Incident:Harassment,Denver,Colorado,CO,8,Denver,31,,,
2684,1,Anti-Semitic Incident:Harassment,Wilmington,Delaware,DE,10,New Castle,3,,,Anti-Israel content posted on hacked website of Jewish organization.
2523,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,,Los Angeles,37,,,"White separatist stalked and threatened neighbor with anti-Semitic, racist slurs."
