GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,54571,31650,31650,0,22921,0
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,182265,105205,63649,41556,77060,0
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,27457,8844,0,8844,18613,0
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,22915,7252,0,7252,15663,0
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,57322,5760,386,5374,51562,0
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,10914,5307,0,5307,5607,0
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,20947,6026,0,6026,14921,0
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,118572,78617,74951,3666,39955,0
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,34215,17399,0,17399,16816,0
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,25989,3707,0,3707,22282,0
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,43643,5785,0,5785,37858,0
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,13859,0,0,0,13859,0
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,25833,6205,0,6205,19628,0
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,13932,0,0,0,13932,0
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,14972,0,0,0,14972,0
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,49948,26375,0,26375,23573,0
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,54428,30537,30066,471,23891,0
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,13228,2520,0,2520,10708,0
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,11539,0,0,0,11539,0
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,37765,11461,0,11461,26304,0
