date,placename,state,state_fips,countyname,countyfips,venue,attendance
17jun2015,Manchester,New Hampshire,33,Hillsborough,11,Manchester Community College,300
11jul2015,Phoenix,Arizona,4,Maricopa,13,Phoenix Convention Center,4169
21jul2015,Sun City,South Carolina,45,Beaufort,13,Magnolia Hall,500
25jul2015,Oskaloosa,Iowa,19,Mahaska,123,Oskaloosa High School,1000
14aug2015,Hampton,New Hampshire,33,Rockingham,15,Winnacunnet High School,3000
21aug2015,Mobile,Alabama,1,Mobile,97,Ladd–Peebles Stadium,22500
25aug2015,Dubuque,Iowa,19,Dubuque,61,Grand River Center,3000
27aug2015,Greenville,South Carolina,45,Greenville,45,TD Convention Center,1400
28aug2015,Norwood,Massachusetts,25,Norfolk,21,"Home of Ernie Boch, Jr.",1750
14sep2015,Dallas,Texas,48,Dallas,113,American Airlines Center,15000
15sep2015,Los Angeles,California,6,Los Angeles,37,USS Iowa,1000
25sep2015,Oklahoma City,Oklahoma,40,Oklahoma,109,Oklahoma State Fair,15000
30sep2015,Keene,New Hampshire,33,Cheshire,5,Keene High School,3500
03oct2015,Franklin,Tennessee,47,Williamson,187,Dortch Stove Works,
07oct2015,Waterloo,Iowa,19,Black Hawk,13,Electric Park Ballroom,1100
10oct2015,Norcross,Georgia,13,Gwinnett,135,North Atlanta Trade Center,7700
16oct2015,Tyngsborough,Massachusetts,25,Middlesex,17,Tyngsboro Elementary School,1000
19oct2015,Anderson,South Carolina,45,Anderson,7,Civic Center of Anderson,5000
24oct2015,Jacksonville,Florida,12,Duval,31,Jacksonville Landing,20000
27oct2015,Sioux City,Iowa,19,Woodbury,193,West High School,2200
29oct2015,Sparks,Nevada,32,Washoe,31,Nugget Casino Resort,2000
31oct2015,Norfolk,Virginia,51,Norfolk city,710,USS Wisconsin,2000
09nov2015,Springfield,Illinois,17,Sangamon,167,Prairie Capital Convention Center,10200
12nov2015,Fort Dodge,Iowa,19,Webster,187,Iowa Central Community College,1500
14nov2015,Beaumont,Texas,48,Jefferson,245,Ford Arena,
16nov2015,Knoxville,Tennessee,47,Knox,93,Knoxville Convention Center,5000
18nov2015,Worcester,Massachusetts,25,Worcester,27,DCU Center,10500
19nov2015,Newton,Iowa,19,Jasper,99,"Maytag Auditorium, DMACC Newton Campus",400
21nov2015,Birmingham,Alabama,1,Jefferson,73,Birmingham–Jefferson Convention Complex,3000
23nov2015,Columbus,Ohio,39,Franklin,49,Greater Columbus Convention Center,14000
24nov2015,Myrtle Beach,South Carolina,45,Horry,51,Myrtle Beach Convention Center,8000
28nov2015,Sarasota,Florida,12,Sarasota,115,Robarts Arena,9000
30nov2015,Macon,Georgia,13,Bibb,21,Macon Coliseum,6000
01dec2015,Waterville Valley,New Hampshire,33,Grafton,9,White Mountain Athletic Club,900
