id,date,type,city,state,ideology,group,description,image
456,12/27/2016,Extremist/Police Shootout,Campbellton,TX,Right Wing (White Supremacist),Aryan Brotherhood of Texas,"Police officers shot and killed white supremacist Jake Childers. Childers had escaped from a prison transport van and stole a vehicle with firearms inside, which he later used to shoot at officers who found him a few days later. He was killed when officers returned fire.",
19,12/2016,Anti-Semitic Incident:Harassment,Albuquerque,NM,,,Individual victim of anti-Semitic and racist harassment in their apartment complex.,
47,12/2016,Anti-Semitic Incident:Harassment,Altadena,CA,,,"Middle school student told by another student, ""Go to the gas chamber, dirty Jew.""",
48,12/2016,Anti-Semitic Incident:Vandalism,Altamonte Springs,FL,,,School vandalized with swastika.,
53,12/2016,Anti-Semitic Incident:Vandalism,Amherst,MA,,,Anti-Semitic jokes and incidents at middle school.,
62,12/2016,Anti-Semitic Incident:Harassment,Angel Fire,NM,,,Individual's employer made anti-Semitic jokes about the Holocaust in front of him and his wife.,
64,12/2016,Anti-Semitic Incident:Vandalism,Carmel Valley,CA,,,Swastika spray-painted on a public bike-path sign.,
71,12/2016,Anti-Semitic Incident:Vandalism,Anniston,AL,,,Stained glass window at synagogue vandalized and broken.,
99,12/2016,Anti-Semitic Incident:Harassment,La Jolla,CA,,,Three teenagers drew a swastika in the sand at the beach.,
113,12/2016,Anti-Semitic Incident:Vandalism,La Jolla,CA,,,Synagogue's communal menorah vandalized.,
223,12/2016,Anti-Semitic Incident:Vandalism,Los Angeles,CA,,,Light pole marked with swastika in Downtown Los Angeles neighborhood.,
238,12/2016,Anti-Semitic Incident:Harassment,Bethlehem,PA,,,"Anti-Semitic drawings, including a swastika, drawn on note in shared workspace.",
239,12/2016,Anti-Semitic Incident:Vandalism,Mission Viejo,CA,,,Swastika graffiti found at local park for children.,
263,12/2016,Anti-Semitic Incident:Harassment,Panorama City,CA,,,Individual made a threat containing an anti-Semitic slur.,
274,12/2016,Anti-Semitic Incident:Harassment,Boca Raton,FL,,,Confidential,
295,12/2016,Anti-Semitic Incident:Vandalism,Boston,MA,,,"Anti-Semitic comments referring to the Holocaust, included ""1941"" and ""Arbeit Macht Frei,"" written on MIT whiteboard.",
309,12/2016,Anti-Semitic Incident:Harassment,Boulder,CO,,,"High school student victim of anti-Semitic harassment and bullying told ""Go back to the gas chamber.""",
337,12/2016,Anti-Semitic Incident:Harassment,Brockton,MA,,,Confidential,
345,12/2016,Anti-Semitic Incident:Vandalism,San Diego,CA,,,"Swastika and the words ""Hail Trump"" carved into golf-course green.",
